Qty,PartNumber,ID_Number,Manf,Manf PN,Description
"16","TSM-102-01-L-SV","CON-025 2 L6","Samtec","TSM-102-01-L-SV","Con 2 pin 100 mil 1x2 str male, surface mnt, 0.230"" post height Samtec TSM-102-01-L-SV"
"16","TSM-104-01-T-DV","CON-025 8 B8","Samtec","TSM-104-01-T-DV","Con 8 pin 100 mil 2x4 str male surface mnt 0.230"" post height Samtec TSM-104-01-T-DV"
"16","FTS-102-01-L-SV","CON-50 2 E1","Samtec","FTS-102-01-L-SV","Con 2 pin 50 mil 1x2 str male, surface mnt, 0.120"" post height Samtec FTS-102-01-L-SV"
"16","FTSH-102-04-F-DV","CON-50 4 N7","Samtec","FTSH-102-04-F-DV","Con 4 pin 50 mil 2x2 str male, surface mnt, 0.150"" post height Samtec FTSH-102-04-F-DV"
